Date,Phosphate (µM),Nitrate+nitrite (µM),Chlorophyll (µg/L),Temperature ©,diss.oxygen (% saturation),Salinity (PSU),pDA (µg/L)
4/16/18,0.58,2.9,4.42,15.91,100.2,33.55,0
4/17/18,0.91,8.37,4.12,12.88,90.35,33.61,0
4/18/18,1.16,10.1,0.63,12.63,84.4,33.64,0
4/19/18,1.09,0.61,4.84,12.99,93.03,33.64,0
4/20/18,0.53,2.59,18.5,13.86,106.24,33.63,0
4/21/18,0.51,0.27,11.93,14.58,112.21,33.61,0
4/22/18,0.66,0.34,7.93,15.49,117.45,33.59,0.05
4/23/18,0.45,0.08,6.52,15.44,113.09,33.59,0.05
4/24/18,0.38,0.26,4.29,15.68,109.42,33.6,0.04
4/25/18,0.34,0.34,5.87,15.63,115.25,33.63,0.06
4/26/18,0.34,0.32,3.89,15.13,107.54,33.62,0.06
4/27/18,1.51,0.14,4.29,16.17,109.75,33.64,0
4/28/18,0.34,0.33,3.03,15.43,113.43,33.64,0
4/29/18,1.08,0.42,3.58,15.62,112.09,33.65,0
4/30/18,1.76,0.78,5.2,15.9,104.51,33.65,0
4/13/19,0.8,8.06,2.78,13.57,80.03,33.62,NA
4/15/19,0.56,3.64,12.64,14.99,NA,33.61,NA
4/16/19,0.41,0.37,18.15,15.61,122.43,33.57,NA
4/17/19,0.38,1.22,7.59,14.58,114.51,33.62,NA
4/18/19,0.3,0.17,8.34,16.01,118.09,33.61,NA
4/19/19,0.33,0.19,7.67,16.59,115.81,33.62,NA
4/20/19,0.33,0.12,11.49,15.73,111.9,33.61,NA
4/21/19,0.49,0.29,12.51,15.79,108.62,33.61,NA
4/22/19,0.58,0.87,10.14,14.25,98.5,33.62,NA
4/23/19,0.44,0.53,8.26,15.36,105.49,33.63,NA
4/24/19,0.51,0,23.93,16.9,171.42,33.57,NA
4/25/19,0.31,0,23.78,16.37,142.88,33.59,NA
4/26/19,0.36,0,13.71,16.52,131.59,33.57,NA
4/27/19,0.29,0,12.35,16.01,102.52,33.6,NA
4/28/19,0.66,0.03,38.9,16.65,115.3,33.59,NA
4/29/19,0.2,-0.2,9.28,16.39,110.47,33.61,NA
4/30/19,0.16,0.2,64.43,16.8,109.61,33.63,NA
5/1/19,0.13,0.09,39.25,16.22,106.64,33.63,NA
5/2/19,0.51,0.08,43.97,15.87,99.86,33.63,NA
5/3/19,0.41,0.04,31.23,16.32,99.88,33.62,NA
5/4/19,0.34,0.1,20.08,17.24,107.19,33.64,NA
5/5/19,0.24,0.11,12.17,17.21,104.85,33.63,NA
