"from","to","weight","type","year"
"Dinophyceae__Margalefidinium_fulvescens__ASV_1","Diatoms__Pseudo-nitzschia_sp.__ASV_21",-0.0153753006669599,"negative","2018"
"Dinophyceae__Margalefidinium_fulvescens__ASV_1","Diatoms__Cerataulina_pelagica__ASV_55",-0.0206318545471183,"negative","2018"
"Dinophyceae__Margalefidinium_fulvescens__ASV_1","Unclassified-Ochrophyte__Triparma_laevis_clade__ASV_170",0.0440439724645989,"positive","2018"
"Dinophyceae__Margalefidinium_fulvescens__ASV_1","Diatoms__Eucampia__ASV_199",-0.0107712789978129,"negative","2018"
"Dinophyceae__Margalefidinium_fulvescens__ASV_1","Syndiniales__Dino-Group-II-Clade-4_X_sp.__ASV_213",0.0191448030098435,"positive","2018"
"Dinophyceae__Margalefidinium_fulvescens__ASV_1","Diatoms__Thalassiosira__ASV_492",-0.013535301500785,"negative","2018"
"Dinophyceae__Margalefidinium_fulvescens__ASV_1","Dinophyceae__Gonyaulax_ellegaardiae__ASV_493",0.0114161183187448,"positive","2018"
"Dinophyceae__Margalefidinium_fulvescens__ASV_1","Diatoms__Eucampia__ASV_630",-0.018060821603934,"negative","2018"
"Dinophyceae__Akashiwo_sanguinea__ASV_2","Diatoms__Thalassiosira_delicatula__ASV_6",-0.0332254768142552,"negative","2018"
"Dinophyceae__Akashiwo_sanguinea__ASV_2","Diatoms__Rhizosolenia_delicatula__ASV_7",-0.0304023574878832,"negative","2018"
"Dinophyceae__Akashiwo_sanguinea__ASV_2","Dinophyceae__Prorocentrum__ASV_10",0.0389515976076321,"positive","2018"
"Dinophyceae__Akashiwo_sanguinea__ASV_2","Diatoms__Pseudo-nitzschia_sp.__ASV_17",-0.0913736299498265,"negative","2018"
"Dinophyceae__Akashiwo_sanguinea__ASV_2","Dinophyceae__Prorocentrum__ASV_18",0.0215852470938156,"positive","2018"
"Dinophyceae__Akashiwo_sanguinea__ASV_2","Diatoms__Pseudo-nitzschia_sp.__ASV_21",-0.084588341387911,"negative","2018"
"Dinophyceae__Akashiwo_sanguinea__ASV_2","Diatoms__Pseudo-nitzschia_sp.__ASV_50",-0.0271331478188694,"negative","2018"
"Dinophyceae__Akashiwo_sanguinea__ASV_2","Diatoms__Cerataulina_pelagica__ASV_55",-0.0685701491601323,"negative","2018"
"Dinophyceae__Akashiwo_sanguinea__ASV_2","Diatoms__Eucampia__ASV_58",-0.0470423257998177,"negative","2018"
"Dinophyceae__Akashiwo_sanguinea__ASV_2","Diatoms__Polar-centric-Mediophyceae__ASV_62",-0.044540431551215,"negative","2018"
"Dinophyceae__Akashiwo_sanguinea__ASV_2","Dinophyceae__Dinophyceae__ASV_79",0.0432051779175014,"positive","2018"
"Dinophyceae__Akashiwo_sanguinea__ASV_2","Dinophyceae__Heterocapsa_sp.__ASV_94",0.0347109474089811,"positive","2018"
"Dinophyceae__Akashiwo_sanguinea__ASV_2","Diatoms__Thalassiosira_rotula__ASV_105",-0.0321181002186846,"negative","2018"
"Dinophyceae__Akashiwo_sanguinea__ASV_2","Dinophyceae__Lingulodinium_polyedra__ASV_112",0.0244587338018771,"positive","2018"
"Dinophyceae__Akashiwo_sanguinea__ASV_2","Dinophyceae__Dinophyceae__ASV_120",0.029039504150603,"positive","2018"
"Dinophyceae__Akashiwo_sanguinea__ASV_2","Dinophyceae__Dinophyceae__ASV_159",0.0198154381201981,"positive","2018"
